deutsch;englisch;wortart;Beispielsatz
Französisch;French;Nomen;
Pause;break;Nomen;
Mathematik;Maths;Nomen;
Geschichte;History;Nomen;
Informationstechnologie (IT);Information Technology (IT);Nomen;
Englisch;English;Nomen;
Kunst;Art;Nomen;
Musik;Music;Nomen;
Werken / Design und Technologie;Design and Technology;Nomen;
Sportunterricht (Turnen);Physical Education (PE);Nomen;
Naturwissenschaften;Science;Nomen;
sobald;as soon as;Konjunktion;As soon as I get up in the morning, I go to the bathroom.
beenden;finish;Verb;I finish school at 4 o'clock.
sich anziehen;get dressed;Verb;I get dressed in the morning when I get up.
spazieren gehen;go for a walk;Phrase;We often go for a walk in the park.
wichtig;important;Adjektiv;It's very important to have good friends.
dauern;last;Verb;Our English lesson lasts for 40 minutes.
sofort;right away;Adverb;When school finishes, I go home right away.
täglich;daily;Adjektiv;My daily routine starts when I get up in the morning.
Stundenplan;timetable;Nomen;She has four English lessons in her timetable.
Biss;bite;Nomen;This snake's bite is poisonous.
jede/r, alle;everyone;Pronomen;Come here, everyone!
nördlich, Nord-, Norden;north;Nomen;My uncle lives in the north of England.
allein, auf sich gestellt;on one's own;Phrase;Joe wasn't married. He lived on his own.
Krake;octopus (pl -es);Nomen;An octopus has eight arms.
giftig;poisonous;Adjektiv;The blue-ringed octopus is poisonous.
Muschel;shell;Nomen;I like collecting shells on the beach.
Na und?;So what?;Phrase;"Sue has got a pony." "So what? My sister has got a horse."
irgendwo;somewhere;Adverb;They always go somewhere exciting.
gegen;against;Präposition;There is no medicine against the poison.
Angreifer/in;attacker;Nomen;The insect uses poison to kill its attacker.
hell, leuchtend;bright;Adjektiv;I love bright colours.
gefährlich;dangerous;Adjektiv;The blue-ringed octopus is very dangerous.
jagen;hunt;Verb;Some animals hunt at night.
Medizin, Medikament/e;medicine (no pl);Nomen;Do you need medicine?
Gift;poison;Nomen;Poison can kill you.
Größe;size;Nomen;What size shoes do you take?
werden;turn;Verb;The octopus turns yellow when you attack it.
Rücken;back;Nomen;I hurt my back when I fell over.
bedecken;cover;Verb;Cover the computer before ink gets on that, too!
wütend;furious;Adjektiv;She has got food all over her new jeans - she's furious.
umarmen;hug;Verb;We hugged each other and said goodbye.
Tinte;ink;Nomen;I can't write. I haven't got any ink in my pen.
schütteln;shake;Verb;Did you shake the octopus' arm?
Aussicht, Anblick;sight;Nomen;This is quite a sight!
fest, eng;tight;Adjektiv;My shoes are too tight.
Assistent/in;assistant;Nomen;His assistant helps him on stage.
Brieftasche;wallet;Nomen;I have my money in my wallet.
Alarm;alarm;Nomen;When he broke into the house, the alarm went off.
bereits, schon;already;Adverb;They were already on the train to London.
Beifall;applause;Nomen;The applause at the end of the play was very loud.
Hintergrund;background;Nomen;In the background you can see the broken window.
beide;both;Pronomen;They both laugh.
Charakter, Person;character;Nomen;What character are you in the play?
sauber;clean;Adjektiv;My shoes are clean.
Befehl;command;Nomen;The boss gives commands.
dreckig, schmutzig;dirty;Adjektiv;I must clean my dirty shoes.
abwaschen;do the washing-up;Verb;Do the washing-up - and do it pronto!
Arzt, Ärztin;doctor;Nomen;I'm ill! I need a doctor.
Fakten, Tatsachen;fact;Nomen;Tell me the facts.
Herr;gentleman;Nomen;Ladies and gentlemen! Welcome!
feste Freundin;girlfriend;Nomen;Roger's new girlfriend is very clever.
hüpfen;hop;Verb;She hops around on one leg.
Das ist mir egal.;I don't care.;Phrase;
Juwel;jewel;Nomen;All her jewels are in a drawer in her bedroom.
küssen;kiss;Verb;My mum kissed me and said goodnight.
Durcheinander, Chaos;mess;Nomen;The room is in a terrible mess.
Büro;office;Nomen;Inspector Lime's office is at the police station.
Platz nehmen;have a seat;Phrase;Please, have a seat Inspector Lime.
geheim;secret;Adjektiv;Vivien gave Roger the secret commands.
Wächter/in;security guard;Nomen;John works as a security guard at a big factory.
Schock(zustand);shock;Nomen;After the accident the man is in shock.
steif;stiff;Adjektiv;My neck's stiff. I can't move my head.
noch, noch immer;still;Adverb;It was late, but the streets were still full of people.
(hin- und her-)schwingen;swing;Verb;The hypnotist was swinging a watch in front of me.
versehentlich;by accident;Adverb;I gave her the wrong book by accident.
Geschirr(spülen);the dishes;Nomen;I always help with the dishes after dinner.
laufen gehen;go for a run;Phrase;Let's go for a run in the park.
teuer;expensive;Adjektiv;This watch was very expensive.
groß;large;Adjektiv;I saw a man with a large bag.
Zeuge, Zeugin;witness;Nomen;After the accident the police spoke to a witness.
tapfer;brave;Adjektiv;When he went to hospital, he was very brave.
(sich) fürchten (vor);fear;Verb;We don't fear ghosts or monsters!
(11) Jahre alt;aged (11);Adjektiv;John and Peter are two boys aged eleven.
einen Streich spielen;play a trick;Phrase;They played a trick on the old man.
Stiege;stairs;Nomen;John went up the stairs to his bedroom.
Tradition;tradition;Nomen;Trick-or-treating is a tradition at Halloween.
schrecklich;awful;Adjektiv;That film on TV last night was awful!
Messer;knife;Nomen;Use a knife to cut the cake.
Geräusch;sound;Nomen;Please be quiet and don't make a sound.
Alter;age;Nomen;They are the same age.
(Tür-)Schloss;(door) lock;Nomen;I turned the key in the lock and opened the door.
gemein;mean;Adjektiv;Don't be so mean - let me ride your bike!
sollte/n, solltest;should;Verb;It's Sally's birthday - we should get her a present.
Seite;side;Nomen;John lives on the other side of the street.
Zwilling, Zwillings-;twin;Nomen;These two boys are twins.
verschwinden;disappear;Verb;Come back soon - don't disappear!
eine Menge von;plenty of;Phrase;Last Halloween, my neighbour gave me plenty of sweets.
begeistert (von);keen (on);Adjektiv;I'm not so keen on Maths.
Tritt, Stoß;kick;Nomen;Ouch! That was a hard kick!
einige, ein paar;a few;Pronomen;A few friends came to my party.
Pralinen;chocolates;Nomen;I had a box of chocolates for my birthday.
verwirrt;confused;Adjektiv;He was confused by all the different notices.
verlegen;embarrassed;Adjektiv;She was embarrassed by her silly mistake.
erklären;explain;Verb;I don't understand - can you explain, please?
glücklicherweise;luckily;Adverb;Luckily we arrived in time to see the film.
Operation;operation;Nomen;The operation was a great success.
organisieren;organise;Verb;I want to organise a party for next weekend.
laut(hals);out loud;Adverb;The situation was so funny I laughed out loud.
planen;plan;Verb;We're planning a party for Saturday evening.
sich entschuldigen;say sorry;Phrase;That was a big mistake - you have to say sorry!
Erfolg;success;Nomen;The party was a great success.
böse, verärgert;upset;Adjektiv;Please don't be upset - it was a silly mistake.
sich Sorgen machen;be worried;Phrase;John didn't come home - his mum is worried.
Skulptur;sculpture;Nomen;There are lots of sculptures in the museum.
jemand;anyone;Pronomen;Hello! Is anyone there?
wegen, infolge, aufgrund;because of;Präposition;We didn't go to the beach because of the rain.
Benehmen, Verhalten;behaviour;Nomen;His behaviour at the party was very strange.
tyrannisieren, mobben;bully;Verb;Don't let anyone bully you on the internet!
schief gehen;go wrong;Verb;Everything is fine - nothing can go wrong!
nicht nur ... sondern auch;not only ... but also;Phrase;His dad has not only a car, but also two motorbikes.
weitergeben;pass on;Verb;She passed on the message to her mum.
Passwort;password;Nomen;Don't tell anyone your password!
solch, so (ein);such;Pronomen;The party was such a surprise.
Tipp;tip;Nomen;I don't know how to use this machine. Can you give me a tip?
auftauchen;turn up;Verb;Twenty people turned up to my party last week.
welche Art (von);what sort of;Phrase;What sort of food do you like?
beeindruckend;awesome;Adjektiv;The film on TV yesterday was awesome!
verwirrend;confusing;Adjektiv;I think the rules are very confusing!
schwierig;difficult;Adjektiv;I don't think the text is difficult. Do you?
spannend;exciting;Adjektiv;There's an exciting film on TV this evening.
komisch, witzig;funny;Adjektiv;That was funny. I laughed a lot.
die ganze Zeit;all the time;Phrase;It rains all the time in winter.
tief;deep;Adjektiv;The water is deep there.
verschwinden;disappear;Verb;The chimpanzee ran away and disappeared in a tree.
schwer;heavy;Adjektiv;This bag is a bit heavy.
in Schwierigkeiten;in trouble;Phrase;He was in trouble - he couldn't swim!
Mitte;middle;Nomen;This towel is wet in the middle.
sicher;safe;Adjektiv;Is it safe to swim here?
Schwimmer/in;swimmer;Nomen;She is an amazing swimmer.
Handtuch;towel;Nomen;Have you got a dry towel?
(sich) umdrehen;turn around;Verb;When she turned around, she saw the pig.
freundlich;friendly;Adjektiv;Dolphins are friendly animals.
Berg;mountain;Nomen;Were there mountains in Atlantis?
beliebt;popular;Adjektiv;They are friendly and popular.
hässlich;ugly;Adjektiv;The rhino is an ugly animal.
tragen, übertragen;carry;Verb;Mosquitoes can carry malaria.
Wüste;desert;Nomen;There are no deserts in England.
sterben;die;Verb;Millions of people die from malaria.
Gramm;gram;Nomen;How many grams are there in a ton?
Säugetier;mammal;Nomen;Elephants and lions are mammals.
Südostasien;South East Asia;Nomen;The crocodiles of South East Asia are the longest in the world.
Tonne (1000 Kilo);ton;Nomen;The helicopter can lift a ton very easily.
wiegen;weigh;Verb;I weigh about 60 kilos.
fast;almost;Adverb;The blue whale weighs almost 150,000 kilos.
wachsen;grow;Verb;The crocodile can grow to eight metres.
hoch, groß;high;Adjektiv;The giraffe is the tallest animal at nearly six metres high.
fast, beinahe;nearly;Adverb;Come on, Susan! It's nearly three o'clock!
Tasse;cup;Nomen;I'd like a cup of tea, please.
fett;fat;Adjektiv;My dog's too fat; he needs exercise.
einfach;simple;Adjektiv;Juggling with two balls is simple.
Es kommt darauf an.;It depends.;Phrase;
Wald;forest;Nomen;There are lots of tall trees in the forest.
Hügel;hill;Nomen;Walk up the hill as far as the church.
Glück;luck;Nomen;Good luck, sir!
Weg, Pfad;path;Nomen;This is the best path through the forest.
Karte;map;Nomen;You can see where we are on the map.
gar nicht, keine Ursache;(not) at all;Phrase;Thank you. - Not at all.
bis zu;as far as;Präposition;Follow the road as far as the supermarket.
Anweisungen;directions;Nomen;Can you give me directions on how to get to the station?
umsteigen;change trains;Verb;We have to change trains at Waterloo Station.
Umschlag, Titelseite;cover;Nomen;There's a nice picture on the cover of this book.
vermisst;missing;Adjektiv;His dog was missing for three days.
meistens;most of the time;Adverb;In the forest it rains most of the time.
Tasche (bei Kleidungsstück);pocket;Nomen;He put his ticket into his coat pocket.
gesund und wohlbehalten;safe and well;Phrase;Everyone is happy now he is safe and well.
zu;too;Adverb;It's too dangerous to go into the forest at night.
untere/r/s;bottom;Adjektiv;It's in the bottom right-hand corner of the picture.
linke/r/s;left-hand;Adjektiv;On the left-hand side there's a lake.
rechte/r/s;right-hand;Adjektiv;On the right-hand side there's a waterfall.
Gebiet, Region, Platz;area;Nomen;The picnic area was large.
bauen;build;Verb;Let's build a bridge.
warte mal, einen Moment;wait a minute;Phrase;Wait a minute, I think I'll join you.
umziehen;move;Verb;We moved to Munich.
schließlich;after all;Adverb;Franz speaks good English - after all, he lives in London.
Flasche;bottle;Nomen;I take a bottle of water in my bag.
Münze, Geldstück;coin;Nomen;I have several coins.
besonders;especially;Adverb;I'm always tired, especially in the morning.
genau;exactly;Adverb;That's exactly right.
herausfinden;find out;Verb;Let's find out what's under this rock!
zum Beispiel;for example;Phrase;Have you got a pet? A dog, for example?
mitgehen;go along;Verb;I went along too.
Witz;joke;Nomen;That's a joke - these coins are plastic!
Liste;list;Nomen;Please make a list.
kein Wunder;no wonder;Phrase;He was very tired. No wonder he lost the match.
nicht mehr;not ... any more;Phrase;We couldn't find the ring any more.
Notiz;note;Nomen;Write me a note, please.
zeigen (auf);point (at);Verb;Please point at what you like.
einige, mehrere;several;Pronomen;There are several cars in the car park.
Snack, Jause;snack;Nomen;I'm hungry. Let's have a snack.
sogenannt;so-called;Adjektiv;The treasure is a small box, the so-called "cache".
noch etwas;something else;Pronomen;There's something else in here!
Gerät, Einheit;unit;Nomen;You need a GPS unit.
sich vorstellen;imagine;Verb;Try to imagine how the story ends.
bei einem Freund/einer Freundin übernachten;stay at a friend's house;Phrase;Last weekend I stayed at a friend's house.
aufräumen;tidy;Verb;I don't want to tidy my room today, but I will do it tomorrow.
stattdessen;instead;Adverb;I'm not going out. I'm going to watch TV instead.
sich entspannen;take it easy;Phrase;I'm very tired. I'm going to take it easy this afternoon.
sich schämen;(be) ashamed;Verb;I made a big mistake. I'm so ashamed!
Ausrede;excuse;Nomen;There's no excuse for bullying.
sich treffen;meet up;Verb;Can we meet up on Saturday?
sich unwohl fühlen;not feel well;Phrase;I can't come with you. I don't feel well.
lügen;tell a lie;Phrase;Don't tell me a lie. I know it was you!
zu Bruch fahren;crash;Verb;I'm sorry I crashed your bike.
Fahrprüfung;driving test;Nomen;To drive a car you have to take a driving test.
könnte/st/n, vielleicht (tun/sein);might;Verb;I might go shopping tomorrow if I have time.
verpassen;miss;Verb;We ran to the bus stop, but we missed the bus.
in Schwierigkeiten geraten, Ärger bekommen;get into trouble;Phrase;I might get into trouble if I do that.
Verkleidung, Kostüm;fancy dress;Nomen;What are you wearing for the fancy dress party?
Mantel;coat;Nomen;Please leave your coat here.
bellen;bark;Verb;The dog barked at the tree.
Besen;broom;Nomen;Use a broom to clean up the mess.
Mülleimer;dustbin;Nomen;Put all the rubbish in the dustbin.
riesig, riesengroß;huge;Adjektiv;His spaceship is huge.
(Zeit) brauchen;take (time);Verb;It took them a long time to build the spaceships.
Reise;journey;Nomen;They went on a long journey to visit their cousins.
einer nach dem anderen;one by one;Phrase;One by one, the spaceships took off.
Samen;seed;Nomen;The seeds are yellow.
kehren;sweep;Verb;Please sweep the floor with this broom.
Licht;light;Nomen;There was a green light in a window.
Weltall;space;Nomen;There are lots of stars and planets out there in space.
Fälschung;fake;Nomen;That picture is not real. It's a fake.
sogar;even;Adverb;My costume was so good even my mum didn't know me.
Streich, Täuschung;hoax;Nomen;The news isn't true. It's a hoax.
Untersuchung, Ermittlung;investigation;Nomen;The police started their investigation yesterday.
Foto(grafie);photograph;Nomen;My grandma showed me some old photographs.
Wissenschaftler/in;scientist;Nomen;Albert Einstein was a very famous scientist.
absolut;absolutely;Adverb;Are you absolutely sure? Yes, I am.
vernichten;destroy;Verb;In the film the aliens try to destroy Earth.
aussehen wie;look like;Verb;John looks exactly like his father.
die Führung übernehmen, erobern;take over;Verb;The aliens wanted to take over the whole world.
Knopf;button;Nomen;If you push this button, the machine comes on.
bequem;comfortable;Adjektiv;This chair is very comfortable.
reagieren;react;Verb;Ms Black did not react.
Wie schade.;What a shame.;Phrase;
Palatschinken, Pfannkuchen;pancakes;Nomen;I love making pancakes.
Pastete, Kuchen;pie;Nomen;Chicken pie is my favourite meal.
Korb;basket;Nomen;There are tomatoes in the shopping basket.
Stück;slice;Nomen;Two big slices of pizza for me, please!
Hauptgang;main course;Nomen;We had chicken and chips for our main course.
Vorspeise;starter;Nomen;They had tomato soup as a starter.
sofort;straightaway;Adverb;You're hungry? I'll bring the soup straightaway!
Paar;couple;Nomen;The couple sat together in the restaurant.
servieren;serve;Verb;The waitress served them coffee after the dessert.
Eintopf;stew;Nomen;We had Irish stew for lunch.
übrigens;by the way;Phrase;By the way, I'm Emma.
Es ist überhaupt kein Problem.;It's no trouble at all.;Phrase;
