deutsch;englisch;wortart;Beispielsatz
Zeichentrick(-film/-serie);cartoon;Nomen;Cartoons are my favourite programme.
Zeit vor einem Bildschirm;screen time;Nomen;Every day we have three hours of screen time.
Schlagzeile;headline;Nomen;What's the news headline today?
neuester/neueste/neuestes;latest;Adjektiv;This is their latest song.
Komödie;comedy;Nomen;We also watch comedy series.
Episode, Folge;episode;Nomen;I watch three episodes a day.
Spieler/Spielerin; Zocker/Zockerin;gamer;Nomen;I watch the gamers.
eine Art von;kind of;Phrase;I usually watch some kind of series.
ziemlich;quite;Adverb;I quite like detective films.
streamen;to stream;Verb;We sometimes stream a film.
Wochenende;weekend;Nomen;Saturday and Sunday are the weekend.
erstarren, anhalten;to freeze (froze);Verb;The film stopped and the people in the picture froze.
riesig;huge;Adjektiv;An elephant is a huge animal.
in, innerhalb;inside;Präposition;Inside the car, there were four people.
(be-)zahlen;to pay (paid);Verb;I paid three pounds for my hamburger.
zeigen auf;to point to;Verb;She pointed to the clock inside the bank.
Kraft;power;Nomen;It has special powers.
Fernbedienung;remote control;Nomen;You use a remote control to change the programme.
antworten;to reply (replied);Verb;I replied to your email this morning.
verkaufen;to sell (sold);Verb;He wants to sell his old car.
winzig;tiny;Adjektiv;An ant is a tiny insect.
Stimme;voice;Nomen;She's a great singer with a beautiful voice.
breit; weit;wide;Adjektiv;There's a very wide road near our house.
kämpfen (mit);to fight (fought);Verb;He fought his sister to get the control.
Ladenbesitzer/Ladenbesitzerin;shopkeeper;Nomen;The shopkeeper wasn't there.
verschwinden;to disappear;Verb;He turned the ring and disappeared.
halten;to hold (held);Verb;The robber held a gun in his hand.
verbringen (mit);to spend;Verb;We spend a lot of time watching shows.
(sich) hinunterbeugen;to bend down (bent down);Verb;Bend down and hug me.
umarmen;to hug;Verb;Can I hug you?
See;lake;Nomen;The giraffe went to the lake.
Blatt (Blätter);leaf (pl leaves);Nomen;It only eats leaves.
liegen;to lie;Verb;I want to lie in the sun.
Haut;skin;Nomen;The lion's skin is yellow.
Punkt;spot;Nomen;The giraffe has black spots.
schwach;weak;Adjektiv;I feel so weak today.
tot;dead;Adjektiv;Maybe I'm dead tomorrow.
es war einmal;once upon a time;Phrase;Once upon a time, there was a lion.
eines Tages;one day;Phrase;One day, the giraffe went to the lake.
Abenteuer;adventure;Nomen;My favourite books are adventure stories.
(Buch-)Umschlag;cover;Nomen;Look at the book covers.
Freundschaft;friendship;Nomen;Is this a story about friendship?
Gedicht;poem;Nomen;I read a poem every day.
Nachbar/Nachbarin;neighbour;Nomen;The neighbour's kid is nice.
(an-)funken;to radio;Verb;He finds her and radios the rescue team.
Rettungsteam;rescue team;Nomen;The rescue team arrives in the helicopter.
Stein;rock;Nomen;The rock is wet.
um Hilfe rufen;to shout for help;Verb;She hasn't got a phone and shouts for help.
ausrutschen;to slip;Verb;He slips on wet rocks.
Sturm;storm;Nomen;Yesterday, there was a storm with strong winds.
nass;wet;Adjektiv;It rained. The rocks are wet.
(an-)kommen;to arrive;Verb;The mountain rescue team arrives.
in Sicherheit sein;to be safe;Phrase;The helicopter arrives. You're safe!
träumen;to dream;Verb;Are you dreaming? No - the man has a jetpack.
(hinunter-)fallen;to fall down;Verb;You fall down and break your leg.
landen;to land;Verb;It is difficult for a helicopter to land on a mountain.
Medikament; Medizin;medicine;Nomen;The rescue team gives you medicine and keeps you warm.
Himmel;sky;Nomen;It's night-time. The sky is dark.
windig;windy;Adjektiv;There's a storm. It's very windy.
dunkel;dark;Adjektiv;I can't see anything. It's very dark.
jung;young;Adjektiv;She's fifteen. She's a young teenager.
allein;alone;Adjektiv;I was alone in the mountains.
Rucksack;backpack;Nomen;My phone was in my backpack.
passieren;to happen;Verb;What happened? The helicopter came back.
verfolgen, jagen;to chase;Verb;My dog chased a cat in our garden.
sonnig;sunny;Adjektiv;The weather was sunny in the morning.
Klassensprecher/Klassensprecherin;class speaker;Nomen;At the beginning of the school year, we choose a class speaker.
Demokratie;democracy;Nomen;In a democracy, the people have the power.
Bürgermeister/Bürgermeisterin;mayor;Nomen;The mayor is the leader of the town council.
politisch;political;Adjektiv;Political education is important.
wählen;to vote;Verb;People vote for their parliament.
Schalter; Knopf;button;Nomen;Diana pressed the button.
Wolke;cloud;Nomen;There were dark clouds in the sky.
Erde;Earth;Nomen;We live on Earth.
sterben;to die;Verb;The Earth is dying.
Wald;forest;Nomen;There are a lot of trees in the forest.
Einleitung;introduction;Nomen;Read the introduction to the radio play.
Weltall;space;Nomen;People are living in spaceships in space.
bemerken;to notice;Verb;Suddenly, they noticed a little spaceship.
drücken;to press;Verb;You have to press the button.
Bildschirm;screen;Nomen;They were in front of a big screen.
Abenteuer, Erlebnis;adventure;Nomen;That was a great adventure!
Figur; Person;character;Nomen;In the story, the characters are in space.
Du wirst es nicht glauben.;Guess what?;Phrase;
Erzähl mir mehr.;Tell me more.;Phrase;
Geburtstagskuchen/-torte;birthday cake;Nomen;Mike's mum is making a big birthday cake for his birthday.
Esser/Esserin;eater;Nomen;She never eats much. She's not a big eater.
krank;ill;Adjektiv;He isn't at school today because he's ill.
unordentlich, schlampig;messy;Adjektiv;He's a messy eater.
Stück;piece;Nomen;Have a piece of my birthday cake!
Kino;cinema;Nomen;Let's go to the cinema on Friday.
ausgezeichnet;excellent;Adjektiv;That's excellent work!
endlich; schließlich;finally;Adverb;Oh good! Finally we can leave!
Match, Spiel;match;Nomen;There's a volleyball match on Saturday.
Ich habe Geburtstag.;It's my birthday.;Phrase;
Datum;date;Nomen;Today's date is Monday, July 7th.
Monat;month;Nomen;February is the second month of the year.
Wie alt bist du?;How old are you?;Phrase;
Kerze;candle;Nomen;The cake has twelve candles on it.
köstlich;delicious;Adjektiv;The chocolate cake looks delicious.
letzter/letzte/letztes;last;Adjektiv;There was a robbery last night.
Räuber/Räuberin;robber;Nomen;He wants to find the robber.
Raubüberfall;robbery;Nomen;There was a robbery at the big house.
gestern;yesterday;Adverb;Where were you yesterday at 9 p.m.?
Wecker;alarm clock;Nomen;The alarm clock wakes me up every morning.
